Restaurant,Menu Item,Calories,Protein,Carbohydrates,Fat
McDonald's,Angus Deluxe Snack Wrap,410.0,20.0,27.0,25.0
McDonald's,Angus Mushroom & Swiss Snack Wrap,430.0,22.0,27.0,26.0
McDonald's,Mac Snack Wrap,330.0,15.0,26.0,19.0
McDonald's,Small French Fries,230.0,3.0,29.0,11.0
McDonald's,Medium French Fries,380.0,4.0,48.0,19.0
McDonald's,Large French Fries,500.0,6.0,63.0,25.0
McDonald's,Ketchup Packet,15.0,0.0,3.0,0.0
McDonald's,Salt Packet,0.0,0.0,0.0,0.0
McDonald's,Chicken McNuggets (4 piece),190.0,9.0,12.0,12.0
McDonald's,Chicken McNuggets (6 piece),280.0,13.0,18.0,18.0
McDonald's,Chicken McNuggets (10 piece),470.0,22.0,30.0,30.0
McDonald's,Barbeque Sauce,50.0,0.0,12.0,0.0
McDonald's,Honey,50.0,0.0,12.0,0.0
McDonald's,Hot Mustard Sauce,60.0,1.0,9.0,2.5
McDonald's,Sweet 'N Sour Sauce,50.0,0.0,12.0,0.0
McDonald's,Chicken Selects Premium Breast Strips (3 pc),400.0,23.0,23.0,24.0
McDonald's,Chicken Selects Premium Breast Strips (5 pc),660.0,38.0,39.0,40.0
McDonald's,Spicy Buffalo Sauce,60.0,0.0,1.0,6.0
McDonald's,Creamy Ranch Sauce,170.0,0.0,2.0,18.0
McDonald's,Tangy Honey Mustard Sauce,60.0,0.0,10.0,2.0
McDonald's,Southwestern Chipotle Barbeque Sauce,60.0,0.0,15.0,0.0
McDonald's,Premium Southwest Salad with Grilled Chicken,320.0,30.0,30.0,9.0
McDonald's,Premium Southwest Salad with Crispy Chicken,430.0,26.0,38.0,20.0
McDonald's,Premium Southwest Salad (without chicken),140.0,6.0,20.0,4.5
McDonald's,Premium Bacon Ranch Salad with Grilled Chicken,260.0,33.0,12.0,9.0
McDonald's,Premium Bacon Ranch Salad with Crispy Chicken,370.0,29.0,20.0,20.0
McDonald's,Premium Bacon Ranch Salad (without chicken),140.0,9.0,10.0,7.0
McDonald's,Premium Caesar Salad with Grilled Chicken,220.0,30.0,12.0,6.0
McDonald's,Premium Caesar Salad with Crispy Chicken,330.0,26.0,20.0,17.0
McDonald's,Premium Caesar Salad (without chicken),90.0,7.0,9.0,4.0
McDonald's,Side Salad,20.0,1.0,4.0,0.0
McDonald's,Butter Garlic Croutons,60.0,2.0,10.0,1.5
McDonald's,Snack Size Fruit & Walnut Salad,210.0,4.0,31.0,8.0
McDonald's,Newman's Own Creamy Southwest Dressing,100.0,1.0,11.0,6.0
McDonald's,Newman's Own Creamy Caesar Dressing,190.0,2.0,4.0,18.0
McDonald's,Newman's Own Low Fat Balsamic Vinaigrette,40.0,0.0,4.0,3.0
McDonald's,Newman's Own Low Fat Family Recipe Italian Dressing,60.0,1.0,8.0,2.5
McDonald's,Newman's Own Ranch Dressing,170.0,1.0,9.0,15.0
McDonald's,Egg McMuffin,300.0,18.0,30.0,12.0
McDonald's,Sausage McMuffin,370.0,14.0,29.0,22.0
McDonald's,Sausage McMuffin with Egg,450.0,21.0,30.0,27.0
McDonald's,English Muffin,160.0,5.0,27.0,3.0
McDonald's,"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",420.0,15.0,37.0,23.0
McDonald's,"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",480.0,15.0,43.0,27.0
McDonald's,Sausage Biscuit with Egg (Regular Size Biscuit),510.0,18.0,36.0,33.0
McDonald's,Sausage Biscuit with Egg (Large Size Biscuit),570.0,18.0,42.0,37.0
McDonald's,Sausage Biscuit (Regular Size Biscuit),430.0,11.0,34.0,27.0
McDonald's,Sausage Biscuit (Large Size Biscuit),480.0,11.0,39.0,31.0
McDonald's,Southern Style Chicken Biscuit (Regular Size Biscuit),410.0,17.0,41.0,20.0
McDonald's,Southern Style Chicken Biscuit (Large Size Biscuit),470.0,17.0,46.0,24.0
McDonald's,"Steak, Egg & Cheese Bagel",660.0,33.0,56.0,33.0
McDonald's,"Bacon, Egg & Cheese McGriddles",420.0,15.0,48.0,18.0
McDonald's,"Sausage, Egg & Cheese McGriddles",560.0,20.0,48.0,32.0
McDonald's,Sausage McGriddles,420.0,11.0,44.0,22.0
McDonald's,Big Breakfast (Regular Size Biscuit),740.0,28.0,51.0,48.0
McDonald's,Big Breakfast (Large Size Biscuit),800.0,28.0,56.0,52.0
McDonald's,Big Breakfast with Hotcakes (Regular Size Biscuit),1090.0,36.0,111.0,56.0
McDonald's,Big Breakfast with Hotcakes (Large Size Biscuit),1150.0,36.0,116.0,60.0
McDonald's,Sausage Burrito,300.0,12.0,26.0,16.0
McDonald's,McSkillet Burrito with Sausage,610.0,27.0,44.0,36.0
McDonald's,Hotcakes,350.0,8.0,60.0,9.0
McDonald's,Hotcakes and Sausage,520.0,15.0,61.0,24.0
McDonald's,Hotcake Syrup,180.0,0.0,45.0,0.0
McDonald's,Whipped Margarine (1 pat),40.0,0.0,0.0,4.5
McDonald's,Hash Brown,150.0,1.0,15.0,9.0
McDonald's,Grape Jam,35.0,0.0,9.0,0.0
McDonald's,Strawberry Preserves,35.0,0.0,9.0,0.0
McDonald's,"Bacon, Egg & Cheese Bagel",560.0,24.0,56.0,27.0
McDonald's,Fruit & Maple Oatmeal,290.0,5.0,57.0,4.5
McDonald's,Fruit & Maple Oatmeal without Brown Sugar,260.0,5.0,48.0,4.5
McDonald's,Hamburger Happy Meal,475.0,22.0,62.0,16.0
McDonald's,4 Piece Chicken McNuggets,395.0,19.0,41.0,17.0
McDonald's,6 Piece Chicken McNuggets Happy Meal,475.0,24.0,46.0,22.0
McDonald's,Fruit 'n Yogurt Parfait (7 oz),160.0,4.0,31.0,2.0
McDonald's,Low Fat Caramel Dip,70.0,0.0,15.0,0.5
McDonald's,Vanilla Reduced Fat Ice Cream Cone,150.0,4.0,24.0,3.5
McDonald's,Kiddie Cone,45.0,1.0,8.0,1.0
McDonald's,Strawberry Sundae,280.0,6.0,49.0,6.0
McDonald's,Hot Caramel Sundae,340.0,7.0,60.0,8.0
McDonald's,Hot Fudge Sundae,330.0,8.0,54.0,10.0
McDonald's,Peanuts (for Sundaes),45.0,2.0,2.0,3.5
McDonald's,McFlurry with M&M'S Candies (12 fl oz cup),710.0,15.0,105.0,25.0
McDonald's,McFlurry with OREO Cookies (12 fl oz cup),580.0,13.0,89.0,19.0
McDonald's,Baked Hot Apple Pie,250.0,2.0,32.0,13.0
McDonald's,Cinnamon Melts,460.0,6.0,66.0,19.0
McDonald's,McDonaldland Cookies,260.0,4.0,43.0,8.0
McDonald's,Chocolate Chip Cookie,160.0,2.0,21.0,8.0
McDonald's,Oatmeal Raisin Cookie,150.0,2.0,22.0,6.0
McDonald's,Sugar Cookie,160.0,2.0,21.0,7.0
McDonald's,Apple Dippers with Low Fat Caramel Dip,100.0,0.0,23.0,0.5
McDonald's,Chocolate McCafé Shake (12 fl oz cup),580.0,11.0,94.0,17.0
McDonald's,Chocolate McCafé Shake (16 fl oz cup),720.0,15.0,119.0,20.0
McDonald's,Chocolate McCafé Shake (22 fl oz cup),880.0,18.0,147.0,24.0
McDonald's,Chocolate Triple Thick Shake (12 fl oz cup),440.0,10.0,76.0,10.0
McDonald's,Chocolate Triple Thick Shake (16 fl oz cup),580.0,13.0,102.0,14.0
McDonald's,Chocolate Triple Thick Shake (21 fl oz cup),770.0,18.0,134.0,18.0
McDonald's,Chocolate Triple Thick Shake (32 fl oz cup),1160.0,27.0,203.0,27.0
McDonald's,Snack Size McFlurry with M&M'S Candies,430.0,9.0,64.0,16.0
McDonald's,Snack Size McFlurry with OREO Cookies,340.0,8.0,53.0,12.0
McDonald's,Strawberry McCafé Shake (12 fl oz cup),570.0,11.0,92.0,17.0
McDonald's,Strawberry McCafé Shake (16 fl oz cup),710.0,14.0,116.0,20.0
McDonald's,Strawberry McCafé Shake (22 fl oz cup),860.0,18.0,144.0,24.0
McDonald's,Strawberry Triple Thick Shake (12 fl oz cup),420.0,10.0,73.0,10.0
McDonald's,Strawberry Triple Thick Shake (16 fl oz cup),560.0,13.0,97.0,13.0
McDonald's,Strawberry Triple Thick Shake (21 fl oz cup),740.0,17.0,128.0,18.0
McDonald's,Strawberry Triple Thick Shake (32 fl oz cup),1110.0,25.0,194.0,26.0
McDonald's,Vanilla McCafé Shake (12 fl oz cup),540.0,10.0,88.0,16.0
McDonald's,Vanilla McCafé Shake (16 fl oz cup),680.0,14.0,111.0,20.0
McDonald's,Vanilla McCafé Shake (22 fl oz cup),830.0,17.0,138.0,24.0
McDonald's,Vanilla Triple Thick Shake (32 fl oz cup),1110.0,25.0,193.0,26.0
McDonald's,Vanilla Triple Thick Shake (12 fl oz cup),420.0,9.0,72.0,10.0
McDonald's,Vanilla Triple Thick Shake (16 fl oz cup),550.0,13.0,96.0,13.0
McDonald's,Vanilla Triple Thick Shake (21 fl oz cup),740.0,17.0,128.0,18.0
McDonald's,1% Low Fat Milk Jug,100.0,8.0,12.0,2.5
McDonald's,1% Low Fat Chocolate Milk Jug,170.0,9.0,26.0,3.0
McDonald's,Minute Maid 100% Apple Juice Box,100.0,0.0,23.0,0.0
McDonald's,Dasani Water,0.0,0.0,0.0,0.0
McDonald's,Minute Maid Orange Juice (Small),150.0,2.0,30.0,0.0
McDonald's,Minute Maid Orange Juice (Medium),190.0,3.0,39.0,0.0
McDonald's,Minute Maid Orange Juice (Large),280.0,4.0,58.0,0.0
McDonald's,Coca-Cola Classic (Child),110.0,0.0,29.0,0.0
McDonald's,Coca-Cola Classic (Small),150.0,0.0,40.0,0.0
McDonald's,Coca-Cola Classic (Medium),210.0,0.0,58.0,0.0
McDonald's,Coca-Cola Classic (Large),310.0,0.0,86.0,0.0
McDonald's,Diet Coke (Child),0.0,0.0,0.0,0.0
McDonald's,Diet Coke (Small),0.0,0.0,0.0,0.0
McDonald's,Diet Coke (Medium),0.0,0.0,0.0,0.0
McDonald's,Diet Coke (Large),0.0,0.0,0.0,0.0
McDonald's,Sprite (Child),110.0,0.0,28.0,0.0
McDonald's,Sprite (Small),150.0,0.0,39.0,0.0
McDonald's,Sprite (Medium),210.0,0.0,56.0,0.0
McDonald's,Sprite (Large),310.0,0.0,83.0,0.0
McDonald's,Hi-C Orange Lavaburst (Child),120.0,0.0,32.0,0.0
McDonald's,Hi-C Orange Lavaburst (Small),160.0,0.0,44.0,0.0
McDonald's,Hi-C Orange Lavaburst (Medium),240.0,0.0,64.0,0.0
McDonald's,Hi-C Orange Lavaburst (Large),350.0,0.0,94.0,0.0
McDonald's,POWERade Mountain Blast (Child),70.0,0.0,20.0,0.0
McDonald's,POWERade Mountain Blast (Small),100.0,0.0,27.0,0.0
McDonald's,POWERade Mountain Blast (Medium),150.0,0.0,39.0,0.0
McDonald's,POWERade Mountain Blast (Large),220.0,0.0,58.0,0.0
McDonald's,Iced Tea (Child),0.0,0.0,0.0,0.0
McDonald's,Iced Tea (Small),0.0,0.0,0.0,0.0
McDonald's,Iced Tea (Medium),0.0,0.0,0.0,0.0
McDonald's,Iced Tea (Large),0.0,0.0,1.0,0.0
McDonald's,Coffee (Small),0.0,0.0,0.0,0.0
McDonald's,Coffee (Large),0.0,0.0,0.0,0.0
McDonald's,Coffee Cream,20.0,0.0,0.0,2.0
McDonald's,Sugar Packet,15.0,0.0,4.0,0.0
McDonald's,EQUAL 0 Calorie Sweetener,0.0,0.0,1.0,0.0
McDonald's,SPLENDA No Calorie Sweetener,0.0,0.0,1.0,0.0
McDonald's,Iced Coffee- Caramel (Small),130.0,1.0,21.0,5.0
McDonald's,Iced Coffee- Caramel (Medium),190.0,2.0,27.0,8.0
McDonald's,Iced Coffee- Caramel (Large),270.0,2.0,41.0,11.0
McDonald's,Iced Coffee- Hazelnut (Small),130.0,1.0,21.0,5.0
McDonald's,Iced Coffee- Hazelnut (Medium),190.0,2.0,29.0,8.0
McDonald's,Iced Coffee- Hazelnut (Large),270.0,2.0,43.0,11.0
McDonald's,Iced Coffee- Regular (Small),140.0,1.0,22.0,5.0
McDonald's,Iced Coffee- Regular (Medium),200.0,2.0,30.0,8.0
McDonald's,Iced Coffee- Regular (Large),280.0,2.0,45.0,11.0
McDonald's,Iced Coffee- Vanilla (Small),130.0,1.0,21.0,5.0
McDonald's,Iced Coffee- Vanilla (Medium),190.0,2.0,29.0,8.0
McDonald's,Iced Coffee- Vanilla (Large),270.0,2.0,43.0,11.0
McDonald's,Iced Coffee with Sugar Free Vanilla Syrup (Small),60.0,1.0,8.0,5.0
McDonald's,Iced Coffee with Sugar Free Vanilla Syrup (Medium),90.0,2.0,11.0,8.0
McDonald's,Iced Coffee with Sugar Free Vanilla Syrup (Large),120.0,2.0,16.0,11.0
McDonald's,Sweet Tea (Child),110.0,0.0,27.0,0.0
McDonald's,Sweet Tea (Large),280.0,1.0,69.0,0.0
McDonald's,Sweet Tea (Medium),180.0,1.0,45.0,0.0
McDonald's,Sweet Tea (Small),150.0,1.0,36.0,0.0
McDonald's,Nonfat Cappuccino (Small),60.0,6.0,9.0,0.0
McDonald's,Nonfat Cappuccino (Medium),80.0,8.0,12.0,0.0
McDonald's,Nonfat Cappuccino (Large),90.0,9.0,13.0,0.0
McDonald's,Nonfat Latte (Small),90.0,9.0,13.0,0.0
McDonald's,Nonfat Latte (Medium),110.0,10.0,15.0,0.0
McDonald's,Nonfat Latte (Large),120.0,12.0,18.0,0.0
McDonald's,Nonfat Caramel Cappuccino (Small),150.0,5.0,33.0,0.0
McDonald's,Nonfat Caramel Cappuccino (Medium),190.0,6.0,41.0,0.0
McDonald's,Nonfat Caramel Cappuccino (Large),230.0,7.0,49.0,0.0
McDonald's,Nonfat Caramel Latte (Small),170.0,7.0,36.0,0.0
McDonald's,Nonfat Caramel Latte (Medium),220.0,9.0,45.0,0.0
McDonald's,Nonfat Caramel Latte (Large),260.0,10.0,53.0,0.0
McDonald's,Nonfat Hazelnut Cappuccino (Small),150.0,5.0,34.0,0.0
McDonald's,Nonfat Hazelnut Cappuccino (Medium),190.0,6.0,43.0,0.0
McDonald's,Nonfat Hazelnut Cappuccino (Large),230.0,7.0,51.0,0.0
McDonald's,Nonfat Hazelnut Latte (Small),180.0,7.0,37.0,0.0
McDonald's,Nonfat Hazelnut Latte (Medium),220.0,9.0,46.0,0.0
McDonald's,Nonfat Hazelnut Latte (Large),260.0,10.0,55.0,0.0
McDonald's,Nonfat Vanilla Cappuccino (Small),150.0,5.0,34.0,0.0
McDonald's,Nonfat Vanilla Cappuccino (Medium),190.0,6.0,42.0,0.0
McDonald's,Nonfat Vanilla Cappuccino (Large),230.0,7.0,51.0,0.0
McDonald's,Nonfat Vanilla Latte (Small),180.0,7.0,37.0,0.0
McDonald's,Nonfat Vanilla Latte (Medium),220.0,9.0,46.0,0.0
McDonald's,Nonfat Vanilla Latte (Large),260.0,10.0,55.0,0.0
McDonald's,Nonfat Cappuccino with Sugar Free Vanilla Syrup (Small),50.0,5.0,15.0,0.0
McDonald's,Nonfat Cappuccino with Sugar Free Vanilla Syrup (Medium),70.0,7.0,19.0,0.0
McDonald's,Nonfat Cappuccino with Sugar Free Vanilla Syrup (Large),80.0,8.0,22.0,0.0
McDonald's,Nonfat Latte with Sugar Free Vanilla Syrup (Small),80.0,7.0,18.0,0.0
McDonald's,Nonfat Latte with Sugar Free Vanilla Syrup (Medium),90.0,9.0,22.0,0.0
McDonald's,Nonfat Latte with Sugar Free Vanilla Syrup (Large),110.0,11.0,27.0,0.0
McDonald's,Mocha with Nonfat Milk (Small),240.0,7.0,41.0,5.0
McDonald's,Mocha with Nonfat Milk (Medium),280.0,8.0,50.0,6.0
McDonald's,Mocha with Nonfat Milk (Large),330.0,10.0,58.0,6.0
McDonald's,Hot Chocolate with Nonfat Milk (Small),250.0,8.0,43.0,5.0
McDonald's,Hot Chocolate with Nonfat Milk (Medium),310.0,11.0,55.0,6.0
McDonald's,Hot Chocolate with Nonfat Milk (Large),390.0,16.0,68.0,6.0
McDonald's,Iced Nonfat Latte (Small),50.0,5.0,7.0,0.0
McDonald's,Iced Nonfat Latte (Medium),60.0,6.0,9.0,0.0
McDonald's,Iced Nonfat Latte (Large),70.0,7.0,11.0,0.0
McDonald's,Iced Nonfat Caramel Latte (Small),140.0,3.0,30.0,0.0
McDonald's,Iced Nonfat Caramel Latte (Medium),150.0,5.0,32.0,0.0
McDonald's,Iced Nonfat Caramel Latte (Large),190.0,6.0,40.0,0.0
McDonald's,Iced Nonfat Hazelnut Latte (Small),140.0,3.0,32.0,0.0
McDonald's,Iced Nonfat Hazelnut Latte (Medium),150.0,5.0,33.0,0.0
McDonald's,Iced Nonfat Hazelnut Latte (Large),190.0,6.0,42.0,0.0
McDonald's,Iced Nonfat Vanilla Latte (Small),140.0,3.0,31.0,0.0
McDonald's,Iced Nonfat Vanilla Latte (Medium),150.0,5.0,33.0,0.0
McDonald's,Iced Nonfat Vanilla Latte (Large),190.0,6.0,41.0,0.0
McDonald's,Iced Nonfat Latte with Sugar Free Vanilla Syrup (Small),40.0,4.0,13.0,0.0
McDonald's,Iced Nonfat Latte with Sugar Free Vanilla Syrup (Medium),50.0,5.0,14.0,0.0
McDonald's,Iced Nonfat Latte with Sugar Free Vanilla Syrup (Large),60.0,6.0,19.0,0.0
McDonald's,Iced Mocha with Nonfat Milk (Medium),270.0,7.0,43.0,8.0
McDonald's,Iced Nonfat Caramel Mocha (Large),300.0,11.0,49.0,6.0
McDonald's,Iced Nonfat Caramel Mocha (Medium),240.0,9.0,37.0,6.0
McDonald's,Iced Nonfat Caramel Mocha (Small),200.0,6.0,29.0,6.0
McDonald's,Nonfat Caramel Mocha (Large),280.0,12.0,49.0,4.0
McDonald's,Nonfat Caramel Mocha (Medium),240.0,9.0,41.0,4.0
McDonald's,Nonfat Caramel Mocha (Small),200.0,8.0,34.0,4.0
McDonald's,Cappuccino (Small),120.0,6.0,9.0,7.0
McDonald's,Cappuccino (Medium),140.0,8.0,11.0,8.0
McDonald's,Cappuccino (Large),180.0,9.0,13.0,10.0
McDonald's,Latte (Small),150.0,8.0,11.0,8.0
McDonald's,Latte (Medium),180.0,10.0,13.0,10.0
McDonald's,Latte (Large),210.0,11.0,16.0,11.0
McDonald's,Caramel Cappuccino (Small),200.0,5.0,32.0,5.0
McDonald's,Caramel Cappuccino (Medium),240.0,6.0,41.0,6.0
McDonald's,Caramel Cappuccino (Large),290.0,8.0,49.0,8.0
McDonald's,Caramel Latte (Small),230.0,7.0,35.0,7.0
McDonald's,Caramel Latte (Medium),280.0,8.0,43.0,8.0
McDonald's,Caramel Latte (Large),330.0,9.0,52.0,9.0
McDonald's,Hazelnut Cappuccino (Small),200.0,5.0,34.0,5.0
McDonald's,Hazelnut Cappuccino (Medium),240.0,6.0,42.0,6.0
McDonald's,Hazelnut Cappuccino (Large),290.0,7.0,51.0,8.0
McDonald's,Hazelnut Latte (Small),230.0,7.0,36.0,7.0
McDonald's,Hazelnut Latte (Medium),280.0,8.0,45.0,8.0
McDonald's,Hazelnut Latte (Large),330.0,9.0,53.0,9.0
McDonald's,Vanilla Cappuccino (Small),200.0,5.0,34.0,5.0
McDonald's,Vanilla Cappuccino (Medium),240.0,6.0,42.0,6.0
McDonald's,Vanilla Cappuccino (Large),290.0,7.0,51.0,8.0
McDonald's,Vanilla Latte (Small),230.0,7.0,36.0,7.0
McDonald's,Vanilla Latte (Medium),280.0,8.0,44.0,8.0
McDonald's,Vanilla Latte (Large),330.0,9.0,53.0,9.0
McDonald's,Cappuccino with Sugar Free Vanilla Syrup (Small),100.0,5.0,15.0,5.0
McDonald's,Cappuccino with Sugar Free Vanilla Syrup (Medium),120.0,6.0,18.0,6.0
McDonald's,Cappuccino with Sugar Free Vanilla Syrup (Large),150.0,8.0,22.0,8.0
McDonald's,Latte with Sugar Free Vanilla Syrup (Small),130.0,7.0,17.0,7.0
McDonald's,Latte with Sugar Free Vanilla Syrup (Medium),160.0,8.0,21.0,8.0
McDonald's,Latte with Sugar Free Vanilla Syrup (Large),180.0,10.0,25.0,10.0
McDonald's,Mocha (Small),280.0,6.0,40.0,11.0
McDonald's,Mocha (Medium),330.0,7.0,48.0,12.0
McDonald's,Mocha (Large),400.0,10.0,58.0,14.0
McDonald's,Hot Chocolate (Small),300.0,8.0,41.0,12.0
McDonald's,Hot Chocolate (Medium),380.0,10.0,53.0,15.0
McDonald's,Hot Chocolate (Large),460.0,13.0,63.0,18.0
McDonald's,Iced Latte (Small),80.0,4.0,6.0,4.5
McDonald's,Iced Latte (Medium),100.0,6.0,8.0,6.0
McDonald's,Iced Latte (Large),140.0,7.0,10.0,8.0
McDonald's,Iced Caramel Latte (Small),160.0,3.0,29.0,3.0
McDonald's,Iced Caramel Latte (Medium),180.0,4.0,31.0,4.5
McDonald's,Iced Caramel Latte (Large),230.0,6.0,40.0,6.0
McDonald's,Iced Hazelnut Latte (Small),160.0,3.0,31.0,3.0
McDonald's,Iced Hazelnut Latte (Medium),180.0,4.0,33.0,4.5
McDonald's,Iced Hazelnut Latte (Large),230.0,6.0,41.0,6.0
McDonald's,Iced Vanilla Latte (Small),160.0,3.0,31.0,3.0
McDonald's,Iced Vanilla Latte (Medium),190.0,5.0,33.0,4.5
McDonald's,Iced Vanilla Latte (Large),230.0,6.0,41.0,6.0
McDonald's,Iced Latte with Sugar Free Vanilla Syrup (Small),60.0,3.0,12.0,3.0
McDonald's,Iced Latte with Sugar Free Vanilla Syrup (Medium),90.0,5.0,14.0,5.0
McDonald's,Iced Latte with Sugar Free Vanilla Syrup (Large),110.0,6.0,19.0,6.0
McDonald's,Iced Mocha (Medium),310.0,7.0,42.0,13.0
McDonald's,Caramel Mocha (Large),360.0,10.0,47.0,14.0
McDonald's,Caramel Mocha (Medium),290.0,8.0,39.0,12.0
McDonald's,Caramel Mocha (Small),250.0,7.0,33.0,11.0
McDonald's,Iced Caramel Mocha (Large),380.0,10.0,48.0,16.0
McDonald's,Iced Caramel Mocha (Medium),300.0,8.0,36.0,14.0
McDonald's,Iced Caramel Mocha (Small),240.0,6.0,29.0,12.0
McDonald's,Frappe Caramel (Small),450.0,6.0,61.0,20.0
McDonald's,Frappe Caramel (Medium),550.0,8.0,76.0,24.0
McDonald's,Frappe Caramel (Large),680.0,10.0,94.0,29.0
McDonald's,Frappe Mocha (Small),450.0,7.0,62.0,20.0
McDonald's,Frappe Mocha (Medium),560.0,8.0,78.0,24.0
McDonald's,Frappe Mocha (Large),680.0,10.0,96.0,28.0
McDonald's,Strawberry Banana Smoothie (Large),330.0,3.0,77.0,1.0
McDonald's,Strawberry Banana Smoothie (Medium),260.0,2.0,60.0,1.0
McDonald's,Strawberry Banana Smoothie (Small),210.0,2.0,49.0,0.5
McDonald's,Wild Berry Smoothie (Large),320.0,3.0,75.0,1.0
McDonald's,Wild Berry Smoothie (Medium),260.0,3.0,60.0,1.0
McDonald's,Wild Berry Smoothie (Small),210.0,2.0,48.0,0.5
Burger King,Whopper Sandwich,660.0,28.0,49.0,40.0
Burger King,Whopper Sandwich with Cheese,740.0,32.0,50.0,46.0
Burger King,Bacon & Cheese Whopper Sandwich,790.0,35.0,50.0,51.0
Burger King,Double Whopper Sandwich,900.0,48.0,49.0,58.0
Burger King,Double Whopper Sandwich with Cheese,980.0,52.0,50.0,64.0
Burger King,Triple Whopper Sandwich,1130.0,67.0,49.0,75.0
Burger King,Triple Whopper Sandwich with Cheese,1220.0,71.0,50.0,82.0
Burger King,Whopper JR. Sandwich,310.0,13.0,27.0,18.0
Burger King,Bacon King Sandwich,1150.0,61.0,49.0,79.0
Burger King,Cheddar Bacon King Sandwich,1190.0,64.0,50.0,84.0
Burger King,Single Quarter Pound King Sandwich,580.0,32.0,49.0,29.0
Burger King,Double Quarter Pound King Sandwich,900.0,56.0,50.0,54.0
Burger King,Single Stacker King,700.0,35.0,48.0,42.0
Burger King,Double Stacker King,1050.0,61.0,49.0,68.0
Burger King,IMPOSSIBLE Whopper Sandwich,630.0,25.0,58.0,34.0
Burger King,Hamburger,240.0,13.0,26.0,10.0
Burger King,Cheeseburger,280.0,15.0,27.0,13.0
Burger King,Double Hamburger,350.0,21.0,26.0,18.0
Burger King,Double Cheeseburger,390.0,23.0,27.0,21.0
Burger King,Extra Long Cheeseburger,630.0,29.0,45.0,37.0
Burger King,Bacon Cheeseburger,320.0,17.0,27.0,16.0
Burger King,Bacon Double Cheeseburger,420.0,25.0,27.0,24.0
Burger King,Crispy Chicken Sandwich,670.0,23.0,54.0,41.0
Burger King,Spicy Crispy Chicken Sandwich,700.0,25.0,57.0,42.0
Burger King,Original Chicken Sandwich,660.0,28.0,48.0,40.0
Burger King,Bacon & Cheese Crispy Chicken Sandwich,800.0,30.0,55.0,52.0
Burger King,BBQ Bacon Crispy Chicken Sandwich,790.0,28.0,60.0,49.0
Burger King,Crispy Chicken Jr.,450.0,12.0,34.0,30.0
Burger King,Spicy Crispy Chicken Jr.,390.0,12.0,37.0,21.0
Burger King,Chicken Nuggets- 4pc,170.0,8.0,11.0,11.0
Burger King,Chicken Nuggets- 6pc,260.0,12.0,16.0,16.0
Burger King,Chicken Nuggets- 10pc,430.0,20.0,27.0,27.0
Burger King,Chicken Nuggets- 20pc,860.0,39.0,53.0,54.0
Burger King,Spicy Chicken Nuggets- 4pc,210.0,8.0,11.0,15.0
Burger King,Spicy Chicken Nuggets- 6pc,320.0,12.0,17.0,22.0
